cu-75%sn.500rpm-1-1451-1_1.ras,,,
X,Y,,
15.61,3030,,
15.62,2950,,
15.63,2890,,
15.64,2860,,
15.65,3030,,
15.66,3030,,
15.67,3050,,
15.68,2760,,
15.69,2870,,
15.7,2860,,
15.71,2900,,
15.72,2930,,
15.73,2960,,
15.74,3120,,
15.75,2860,,
15.76,2790,,
15.77,2790,,
15.78,2610,,
15.79,2790,,
15.8,2970,,
15.81,2920,,
15.82,3110,,
15.83,3160,,
15.84,2890,,
15.85,2910,,
15.86,3130,,
15.87,3130,,
15.88,2790,,
15.89,2760,,
15.9,2900,,
15.91,2770,,
15.92,2590,,
15.93,2660,,
15.94,2870,,
15.95,2860,,
15.96,2870,,
15.97,3000,,
15.98,2910,,
15.99,2910,,
16,2880,,
16.01,2890,,
16.02,2820,,
16.03,2860,,
16.04,2840,,
16.05,2870,,
16.06,3030,,
16.07,2860,,
16.08,2790,,
16.09,2810,,
16.1,2730,,
16.11,2910,,
16.12,2900,,
16.13,2800,,
16.14,2740,,
16.15,2720,,
16.16,2960,,
16.17,3090,,
16.18,2880,,
16.19,2850,,
16.2,2860,,
16.21,2810,,
16.22,2900,,
16.23,2900,,
16.24,2940,,
16.25,3070,,
16.26,2960,,
16.27,2770,,
16.28,2830,,
16.29,2750,,
16.3,3000,,
16.31,2800,,
16.32,2630,,
16.33,2730,,
16.34,2780,,
16.35,2830,,
16.36,2930,,
16.37,2900,,
16.38,2780,,
16.39,2770,,
16.4,2760,,
16.41,2700,,
16.42,2660,,
16.43,2750,,
16.44,2790,,
16.45,2900,,
16.46,2860,,
16.47,2750,,
16.48,2900,,
16.49,3000,,
16.5,2980,,
16.51,2790,,
16.52,2610,,
16.53,2670,,
16.54,2700,,
16.55,2910,,
16.56,2780,,
16.57,2670,,
16.58,2700,,
16.59,2820,,
16.6,2690,,
16.61,2690,,
16.62,2740,,
16.63,2800,,
16.64,2670,,
16.65,2730,,
16.66,2960,,
16.67,2950,,
16.68,2900,,
16.69,2830,,
16.7,2950,,
16.71,2890,,
16.72,2780,,
16.73,2880,,
16.74,3110,,
16.75,3080,,
16.76,3020,,
16.77,2690,,
16.78,2710,,
16.79,2760,,
16.8,2780,,
16.81,2850,,
16.82,2810,,
16.83,2830,,
16.84,2890,,
16.85,2870,,
16.86,2720,,
16.87,2670,,
16.88,2820,,
16.89,2820,,
16.9,2810,,
16.91,2880,,
16.92,2990,,
16.93,2820,,
16.94,2650,,
16.95,2730,,
16.96,2830,,
16.97,2860,,
16.98,2780,,
16.99,2770,,
17,2760,,
17.01,2910,,
17.02,2920,,
17.03,2850,,
17.04,2820,,
17.05,2750,,
17.06,2850,,
17.07,2960,,
17.08,2860,,
17.09,2890,,
17.1,2850,,
17.11,2890,,
17.12,2860,,
17.13,2940,,
17.14,2810,,
17.15,2790,,
17.16,2690,,
17.17,2850,,
17.18,3070,,
17.19,3050,,
17.2,2870,,
17.21,2820,,
17.22,2820,,
17.23,2940,,
17.24,2790,,
17.25,2680,,
17.26,2800,,
17.27,2760,,
17.28,2890,,
17.29,2890,,
17.3,2810,,
17.31,2830,,
17.32,2800,,
17.33,2620,,
17.34,2620,,
17.35,2570,,
17.36,2820,,
17.37,2850,,
17.38,2770,,
17.39,2800,,
17.4,2770,,
17.41,2720,,
17.42,2620,,
17.43,2570,,
17.44,2570,,
17.45,2560,,
17.46,2660,,
17.47,2720,,
17.48,2720,,
17.49,2880,,
17.5,2840,,
17.51,2670,,
17.52,2730,,
17.53,2820,,
17.54,2710,,
17.55,2710,,
17.56,2770,,
17.57,2900,,
17.58,2880,,
17.59,2800,,
17.6,2720,,
17.61,2660,,
17.62,2680,,
17.63,2680,,
17.64,2720,,
17.65,2750,,
17.66,2820,,
17.67,2800,,
17.68,2750,,
17.69,2730,,
17.7,2660,,
17.71,2740,,
17.72,2880,,
17.73,2800,,
17.74,2820,,
17.75,2810,,
17.76,2650,,
17.77,2570,,
17.78,2580,,
17.79,2600,,
17.8,2630,,
17.81,2810,,
17.82,2800,,
17.83,2680,,
17.84,2630,,
17.85,2710,,
17.86,2800,,
17.87,2720,,
17.88,2690,,
17.89,2740,,
17.9,2690,,
17.91,2840,,
17.92,2990,,
17.93,2840,,
17.94,2730,,
17.95,2780,,
17.96,2760,,
17.97,2690,,
17.98,2690,,
17.99,2730,,
18,2720,,
18.01,2700,,
18.02,2720,,
18.03,2810,,
18.04,2710,,
18.05,2510,,
18.06,2530,,
18.07,2720,,
18.08,2720,,
18.09,2700,,
18.1,2650,,
18.11,2650,,
18.12,2700,,
18.13,2740,,
18.14,2730,,
18.15,2810,,
18.16,2700,,
18.17,2610,,
18.18,2580,,
18.19,2440,,
18.2,2570,,
18.21,2700,,
18.22,2530,,
18.23,2490,,
18.24,2650,,
18.25,2770,,
18.26,2760,,
18.27,2750,,
18.28,2700,,
18.29,2590,,
18.3,2670,,
18.31,2760,,
18.32,2720,,
18.33,2680,,
18.34,2660,,
18.35,2580,,
18.36,2600,,
18.37,2660,,
18.38,2690,,
18.39,2750,,
18.4,2670,,
18.41,2500,,
18.42,2490,,
18.43,2590,,
18.44,2720,,
18.45,2710,,
18.46,2640,,
18.47,2680,,
18.48,2770,,
18.49,2820,,
18.5,2800,,
18.51,2860,,
18.52,2790,,
18.53,2570,,
18.54,2400,,
18.55,2590,,
18.56,2700,,
18.57,2670,,
18.58,2630,,
18.59,2650,,
18.6,2580,,
18.61,2430,,
18.62,2440,,
18.63,2520,,
18.64,2580,,
18.65,2590,,
18.66,2580,,
18.67,2450,,
18.68,2460,,
18.69,2690,,
18.7,2640,,
18.71,2500,,
18.72,2540,,
18.73,2620,,
18.74,2620,,
18.75,2630,,
18.76,2710,,
18.77,2700,,
18.78,2540,,
18.79,2460,,
18.8,2480,,
18.81,2470,,
18.82,2350,,
18.83,2340,,
18.84,2610,,
18.85,2770,,
18.86,2780,,
18.87,2640,,
18.88,2500,,
18.89,2540,,
18.9,2580,,
18.91,2530,,
18.92,2510,,
18.93,2560,,
18.94,2630,,
18.95,2540,,
18.96,2420,,
18.97,2360,,
18.98,2420,,
18.99,2550,,
19,2440,,
19.01,2350,,
19.02,2440,,
19.03,2450,,
19.04,2440,,
19.05,2420,,
19.06,2520,,
19.07,2680,,
19.08,2650,,
19.09,2560,,
19.1,2480,,
19.11,2400,,
19.12,2420,,
19.13,2440,,
19.14,2510,,
19.15,2620,,
19.16,2570,,
19.17,2520,,
19.18,2550,,
19.19,2570,,
19.2,2600,,
19.21,2650,,
19.22,2630,,
19.23,2630,,
19.24,2560,,
19.25,2470,,
19.26,2510,,
19.27,2620,,
19.28,2700,,
19.29,2630,,
19.3,2560,,
19.31,2640,,
19.32,2750,,
19.33,2670,,
19.34,2540,,
19.35,2580,,
19.36,2610,,
19.37,2610,,
19.38,2580,,
19.39,2500,,
19.4,2580,,
19.41,2670,,
19.42,2610,,
19.43,2580,,
19.44,2620,,
19.45,2560,,
19.46,2450,,
19.47,2460,,
19.48,2480,,
19.49,2350,,
19.5,2420,,
19.51,2570,,
19.52,2510,,
19.53,2490,,
19.54,2460,,
19.55,2480,,
19.56,2530,,
19.57,2470,,
19.58,2450,,
19.59,2490,,
19.6,2420,,
19.61,2340,,
19.62,2300,,
19.63,2400,,
19.64,2550,,
19.65,2450,,
19.66,2430,,
19.67,2330,,
19.68,2260,,
19.69,2360,,
19.7,2440,,
19.71,2460,,
19.72,2380,,
19.73,2500,,
19.74,2570,,
19.75,2480,,
19.76,2420,,
19.77,2390,,
19.78,2270,,
19.79,2240,,
19.8,2410,,
19.81,2500,,
19.82,2460,,
19.83,2390,,
19.84,2390,,
19.85,2440,,
19.86,2350,,
19.87,2410,,
19.88,2480,,
19.89,2430,,
19.9,2440,,
19.91,2400,,
19.92,2360,,
19.93,2540,,
19.94,2580,,
19.95,2400,,
19.96,2420,,
19.97,2520,,
19.98,2480,,
19.99,2430,,
20,2460,,
20.01,2370,,
20.02,2300,,
20.03,2330,,
20.04,2300,,
20.05,2230,,
20.06,2270,,
20.07,2340,,
20.08,2340,,
20.09,2380,,
20.1,2380,,
20.11,2410,,
20.12,2470,,
20.13,2430,,
20.14,2360,,
20.15,2300,,
20.16,2320,,
20.17,2310,,
20.18,2240,,
20.19,2330,,
20.2,2250,,
20.21,2210,,
20.22,2280,,
20.23,2330,,
20.24,2430,,
20.25,2530,,
20.26,2480,,
20.27,2430,,
20.28,2380,,
20.29,2310,,
20.3,2330,,
20.31,2440,,
20.32,2480,,
20.33,2260,,
20.34,2300,,
20.35,2360,,
20.36,2320,,
20.37,2270,,
20.38,2270,,
20.39,2320,,
20.4,2300,,
20.41,2410,,
20.42,2410,,
